Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+NNGIT+V+Par+1Sg+LU	Aasiammiulerisariaqassanngitsungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Ind+1Pl	Aasiammiulerisariaqassaagut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Ind+1Sg	Aasiammiulerisariaqassaanga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Ind+3Sg	Aasiammiulerisariaqassaaq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Int+2Sg	Aasiammiulerisariaqassavit
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Par+1Sg	Aasiammiulerisariaqassasunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Par+1Sg+LI	Aasiammiulerisariaqassasungali
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+SSA+V+Par+1Sg+LU	Aasiammiulerisariaqassasungalu
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+TAR+GALUAR+V+Ind+1Pl	Aasiammiulerisariaqartaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+TAR+GALUAR+V+Ind+1Sg	Aasiammiulerisariaqartaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+TAR+GALUAR+V+Ind+3Sg	Aasiammiulerisariaqartaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+LIRI+Sem/work+TARIAQAR+Sem/must+TAR+GALUAR+V+Int+2Sg	Aasiammiulerisariaqartaraluarpit
